High,Low,Open,Close,Volume,Adj Close,Return,Date,Week_Number,Year,mean_return,volatility
179.7200012,178.5500031,178.6499939,179.3300018,1796500,176.888504,0.24,2019/4/23,16,2019,-0.2352,0.896008761
179.5099945,177.5099945,179.0099945,177.6199951,1780200,175.2017822,-0.954,2019/4/24,16,2019,-0.2352,0.896008761
176.75,174.9199982,176.2200012,176.2799988,2229900,173.8800354,-0.754,2019/4/25,16,2019,-0.2352,0.896008761
178.2599945,175.3699951,175.4400024,178.2599945,1483900,175.8330536,1.123,2019/4/26,16,2019,-0.2352,0.896008761
178.2599945,176.4900055,176.7899933,177.1000061,1195400,174.6888885,-0.651,2019/4/29,17,2019,0.3068,1.216637867
180.5599976,177.3899994,177.8699951,180.2599945,1404200,177.8058472,1.784,2019/4/30,17,2019,0.3068,1.216637867
181.1999969,178.0099945,179.8899994,178.2899933,1018300,175.8626556,-1.093,2019/5/1,17,2019,0.3068,1.216637867
180.4900055,177.2700043,177.9299927,180.4900055,1691000,178.0327148,1.234,2019/5/2,17,2019,0.3068,1.216637867
181.4700012,179.2400055,179.6799927,180.9600067,1248900,178.4963379,0.26,2019/5/3,17,2019,0.3068,1.216637867
179.3300018,177.8099976,177.8300018,178.6300049,1407000,176.1980438,-1.288,2019/5/6,18,2019,0.1026,2.911248924
176.8699951,172.9100037,176.5800018,174.5700073,2049600,172.1933289,-2.273,2019/5/7,18,2019,0.1026,2.911248924
177.5299988,174.2400055,174.4299927,176.5399933,1264600,174.1364899,1.128,2019/5/8,18,2019,0.1026,2.911248924
174.7100067,171.6000061,173.1999969,173.3500061,1999500,170.9899292,-1.807,2019/5/9,18,2019,0.1026,2.911248924
182.2200012,174.2700043,174.6300049,181.5899963,2511800,179.1177368,4.753,2019/5/10,18,2019,0.1026,2.911248924
181.0099945,177.8200073,179.7400055,180.6799927,2328500,178.220108,-0.501,2019/5/13,19,2019,0.8144,1.700221986
182.3600006,179.7799988,180.3099976,180.9199982,2029300,178.4568634,0.133,2019/5/14,19,2019,0.8144,1.700221986
182.3699951,178.3200073,178.5700073,180.8600006,1184200,178.3976746,-0.033,2019/5/15,19,2019,0.8144,1.700221986
188.9700012,184.5,185.0899963,187.6499939,1866600,185.0952301,3.754,2019/5/16,19,2019,0.8144,1.700221986
189.4499969,186.8899994,188.1900024,189,1737900,186.4268646,0.719,2019/5/17,19,2019,0.8144,1.700221986
187.1699982,184.6499939,186,185.2599945,1383700,182.7377625,-1.979,2019/5/20,20,2019,-0.1106,1.610580113
187.4400024,186.1499939,186.7599945,187.2700043,1051500,184.7204132,1.085,2019/5/21,20,2019,-0.1106,1.610580113
189.7200012,187.1799927,187.8699951,188.2400055,1334800,185.6772003,0.518,2019/5/22,20,2019,-0.1106,1.610580113
187.0399933,184.4700012,185.8899994,185.0800018,1318500,182.5602264,-1.679,2019/5/23,20,2019,-0.1106,1.610580113
188.1499939,185.8500061,187.3699951,187.8600006,1025300,185.3023834,1.502,2019/5/24,20,2019,-0.1106,1.610580113
187.7799988,183.7299957,186.9400024,184.3099976,1483100,181.800705,-1.89,2019/5/28,21,2019,-0.86575,0.875702147
183.1300049,181.2100067,181.4600067,183.0099945,1405400,180.5184021,-0.705,2019/5/29,21,2019,-0.86575,0.875702147
